example_id,conversation_id,customer_message,conversation_context,intent,expected_escalation,escalation_reason,difficulty,annotator_notes,human_reviewed,review_action,preliminary_intent,preliminary_escalation,preliminary_difficulty
1,1547914,@AmazonHelp Order # 407-7008362-4966709 Amazon Tracking  says Attempted delivery at 11.38 PM - (cont) https://t.co/4iN0Xn0E7O,"[1547914] AMAZONHELP: @317647 Could you please let us know what went wrong? We'll definitely look into it. 2/2 ^PS
[1547915] CUSTOMER: @AmazonHelp Order # 407-7008362-4966709 Amazon Tracking  says Attempted delivery at 11.38 PM - (cont) https://t.co/4iN0Xn0E7O
[1547916] CUSTOMER: @115851 @118702 Thanks Amazon for causing such level of Inconevniences on Orders placed during (cont) https://t.co/FfI8T5fIM5
[1547917] AMAZONHELP: @317647 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^KA
[1547918] AMAZONHELP: @317647 I'm sorry to know about the delivery issue. Please share your details here: https://t.co/GIJyeYqKE0 and I'll reach out. ^KA
[1547919] CUSTOMER: @AmazonHelp Have submitted the details on the tiny site as requested
[1547920] AMAZONHELP: @317647 We have received your details, we are working on it. We'll get back to you soon with an update. ^SY
[1547921] AMAZONHELP: @317647 Apologies for the inconvenience you've faced with your orders. We certainly did not expect this to happen. 1/2 ^PS",delivery_shipping_delay,True,Requires order lookup for delivery status update,Easy,Confirmed AI pre-label: General delivery delay / shipping inquiry,True,confirmed,delivery_shipping_delay,True,Easy
2,1559309,@AmazonHelp I went through everything just to be told you can’t help. The order is late and the codes don’t work. I thought amazon was better than that.,"[1559309] AMAZONHELP: @387412 Oh no! We'll look into this with you, if you'll please phone us here: https://t.co/JzP7hlA23B Please keep us posted! ^LB
[1559310] CUSTOMER: @AmazonHelp I went through everything just to be told you can’t help. The order is late and the codes don’t work. I thought amazon was better than that.
[1559312] AMAZONHELP: @387412 I'm sorry to hear that. What information were you provided with? ^DC
[1559313] CUSTOMER: @AmazonHelp To contact activist, which did help as there help service is currently not online anyway
[1559314] AMAZONHELP: @387412 Hey, when you are able to contact Activision, please let us know what you find out. Here's a link: https://t.co/sUoG0bWzW7!  ^PF",unclear_other,True,Multiple issues are present and the conversation indicates the problem may require investigation outside Amazon's public support flow.,Hard,"AI pre-label appears to over-assume a payment/gift-card issue; customer mentions a late order and non-working codes, with context pointing to Activision.",True,corrected,payment_promo_giftcard,True,Medium
3,1632461,@AmazonHelp Tracking ID is Q80674748604,"[1632461] AMAZONHELP: @324180 I'm sorry your parcel hasn't arrived yet! Has the tracking been updated at all: https://t.co/aaDyEz1VgE ^LB
[1632462] CUSTOMER: @AmazonHelp Tracking ID is Q80674748604
[1632464] CUSTOMER: @AmazonHelp Im not happy!!! Needed it for tonight please can you sort something out
[1632465] AMAZONHELP: @324180 I'm sorry! We can't access your account via Twitter. Please reach out for options here: https://t.co/JzP7hlA23B ^WT
[1632466] CUSTOMER: @AmazonHelp It says it was delivered yesterday at 10pm. I was at home and no one delivered anything?!!! Where is my package
[1632467] AMAZONHELP: @324180 Hi, have you checked with close neighbours &amp; safe places around property: https://t.co/BuAkojNX8g ^TS
[1632468] CUSTOMER: @AmazonHelp Yes none of my neighbors have it, ive been waiting for 2 days so much for having prime😞!!!!
[1632469] AMAZONHELP: @324180 Please phone or chat with us so we can review options on your order with you: https://t.co/JzP7hlA23B ^AN",delivery_shipping_delay,True,Requires private tracking lookup and account verification,Easy,1,True,confirmed,delivery_shipping_delay,True,Easy
4,1143393,"@AmazonHelp Thanks. I've already checked this - the carrier was Amazon Shipping, it's saying to contact customer service directly.","[1143393] AMAZONHELP: @389113 Thanks for checking- You can contact us via: https://t.co/JzP7hlA23B ^NV
[1143394] CUSTOMER: @AmazonHelp Thanks. I've already checked this - the carrier was Amazon Shipping, it's saying to contact customer service directly.
[1143395] AMAZONHELP: @389113 I'm so sorry to hear this! Here's some tips for a parcel you are unable to locate: https://t.co/PaDuqehvUk ^MJ",delivery_shipping_delay,True,Requires order lookup for delivery status update,Easy,Confirmed AI pre-label: General delivery delay / shipping inquiry,True,confirmed,delivery_shipping_delay,True,Easy
5,2642036,@AmazonHelp Customer service has already helped as much as they can. Stop using me as a guinea pig in trying to get the Amazon carrier service right.,"[2642036] AMAZONHELP: @745557 This isn't what we like to see! Do you have a current order we can assist you with:  https://t.co/Y5jpI9gRhE? ^DW
[2642037] CUSTOMER: @AmazonHelp Customer service has already helped as much as they can. Stop using me as a guinea pig in trying to get the Amazon carrier service right.",unclear_other,True,"The message is a general complaint about the carrier service, with no specific order or resolvable delivery issue provided.",Medium,"AI pre-label assumes a delivery-delay issue, but the available conversation does not provide a specific delivery problem.",True,corrected,delivery_shipping_delay,True,Easy
6,2974855,@AmazonHelp Lasership. And I don't have my package,"[2974855] AMAZONHELP: @820440 Thanks for that information! Please call or chat in so we can have a closer look at available options together here: https://t.co/hApLpMlfHN ^SG
[2974856] CUSTOMER: @AmazonHelp Lasership. And I don't have my package
[2974857] CUSTOMER: @820440 @AmazonHelp I'd like to help.  Please submit your name, Twitter handle and tracking number to __email__.
[2974858] AMAZONHELP: @820440 I'm so sorry for the frustration! Which carrier was assigned to deliver your package? Also, what's the current status of your order? You can check here: https://t.co/Y5jpI9gRhE ^TN",delivery_shipping_delay,True,Requires order lookup for delivery status update,Easy,Confirmed AI pre-label: General delivery delay / shipping inquiry,True,confirmed,delivery_shipping_delay,True,Easy
7,204931,@AmazonHelp AMZL US. I buzzed him in and he didn’t come up!  Not ok and he should have come back. (Delivery made yesterday with no problem.),"[204931] AMAZONHELP: @164540 I'm sorry the order hasn't been delivered yet! Who's the carrier listed on the tracking details: https://t.co/Y5jpI9gRhE? ^EP
[204932] CUSTOMER: @AmazonHelp AMZL US. I buzzed him in and he didn’t come up!  Not ok and he should have come back. (Delivery made yesterday with no problem.)
[204934] AMAZONHELP: @164540 I'd like to have a member from our team look into this for you; please provide your information here: https://t.co/ZWN6BDyEpK ^WM
[204935] CUSTOMER: @AmazonHelp I submitted form. Thank you.",delivery_shipping_delay,True,Requires order lookup for delivery status update,Easy,Confirmed AI pre-label: General delivery delay / shipping inquiry,True,confirmed,delivery_shipping_delay,True,Easy
8,1268852,"@AmazonHelp The delivery man is not good 
He is stupid pls hire such kind of people .
They are just degrading your promises","[1268852] AMAZONHELP: @417103 Apologies! If the product is out for delivery, it shall be delivered by the end of the day. Kindly wait. ^HK
[1268853] CUSTOMER: @AmazonHelp The delivery man is not good 
He is stupid pls hire such kind of people .
They are just degrading your promises
[1268855] AMAZONHELP: @417103 Please reach our support team here: https://t.co/vlvfJr4nN9, we'll update you on the latest status. ^HT
[1268856] CUSTOMER: @AmazonHelp He contacted me on saturday for delivery. I was not available 
So i asked him to deliver on sunday he agreed to me 
Next morning fone is swithed off 
Then he said in the evening now today fone is swithed off",delivery_shipping_delay,True,Requires order lookup for delivery status update,Easy,Confirmed AI pre-label: General delivery delay / shipping inquiry,True,confirmed,delivery_shipping_delay,True,Easy
9,816373,@115850 i'm fed up with ur delivery service.for a parcel i hv to called 5 time in 2 days.bt still no action.is this amazon famous for? https://t.co/Vr1jZ70pNY,"[816373] AMAZONHELP: @311363 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^KS 2/2
[816374] CUSTOMER: @115850 i'm fed up with ur delivery service.for a parcel i hv to called 5 time in 2 days.bt still no action.is this amazon famous for? https://t.co/Vr1jZ70pNY
[816375] AMAZONHELP: @311363 Sorry for the delay, Kushal. Kindly fill in your details via the link provided and we will get back to you. ^KS 1/2",delivery_shipping_delay,True,Requires order lookup for delivery status update,Easy,Confirmed AI pre-label: General delivery delay / shipping inquiry,True,confirmed,delivery_shipping_delay,True,Easy
10,674322,@AmazonHelp The team picked up the return package. Thank you!,"[674322] AMAZONHELP: @280818 You're welcome, I'm sure as soon as the product return to us, the refund will be issued. ^SI
[674323] CUSTOMER: @AmazonHelp The team picked up the return package. Thank you!
[674324] AMAZONHELP: @280818 I'm sorry to keep you waiting. We'll get the pick up arranged. Please reach out to our support team here: https://t.co/vlvfJr4nN9. ^AR
[674325] CUSTOMER: @AmazonHelp Amazon.in
[674326] AMAZONHELP: @280818 Hey, can you please let us know from which site was the order that you are returning placed? Was it https://t.co/nUUp5MLhYl, .co.uk, .in?^MA",returns_refund_inquiry,True,Requires order lookup for refund timeline/status,Easy,Confirmed AI pre-label: Return process or refund timeframe inquiry,True,confirmed,returns_refund_inquiry,True,Easy
11,321995,"@AmazonHelp No, there's no point now. I had to wait an entire week for a ""next day delivery"", so I'm not going to wait any longer for a few dirt marks.","[321995] AMAZONHELP: @164969 Sorry to hear that Grace, have you checked the options available here: http:https://t.co/5RcjVPJgUP. ^JJ
[321996] CUSTOMER: @AmazonHelp No, there's no point now. I had to wait an entire week for a ""next day delivery"", so I'm not going to wait any longer for a few dirt marks.
[321998] CUSTOMER: @AmazonHelp Just actually put some care in the quality of your products next time?",item_condition_issue,False,"The customer is primarily complaining about the condition/quality of the delivered product, not requesting an order-status investigation",Medium,Primary issue is product condition/quality (dirt marks); the delivery delay is mentioned as background context.,True,corrected,delivery_shipping_delay,True,Easy
12,2924441,"@AmazonHelp Order number here: 112-0145469-2951426

Tracking ID TBA572061210000","[2924441] AMAZONHELP: @230664 I'm sorry for the frustration! We'd like to take a closer look. Please submit your order/contact information here: https://t.co/HcHONZD8Mf ^TN
[2924442] CUSTOMER: @AmazonHelp Order number here: 112-0145469-2951426

Tracking ID TBA572061210000
[2924443] AMAZONHELP: @230664 I know delays can be troublesome and we're here to help! Without any account or personal details, please confirm for us who the carrier is on the order here:  https://t.co/Y5jpI9gRhE ^SG",delivery_shipping_delay,True,Requires private tracking lookup and account verification,Easy,Confirmed AI pre-label: Carrier tracking or late delivery query,True,confirmed,delivery_shipping_delay,True,Easy
